Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.109,21.8,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.276,39.42857142857143,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.541,36.06666666666667,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,6.91,345.5,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,1.057,5.872222222222222,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,0.04,2,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,36.415,151.72916666666666,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,5.22,113.47826086956522,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.066,2.75,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,2.604,10.585365853658537,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,1.667,72.47826086956522,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.29,3.9726027397260273,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,14.878,10.162568306010929,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,0.827,68.91666666666666,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,1.29,129,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,1.084,63.76470588235294,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.664,132.8,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.528,1941,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,1.48,211.42857142857142,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.024,3,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,1.467,489,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,1.316,329,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,3.941,985.2499999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.043,6.142857142857142,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,0.997,83.08333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.234,33.42857142857143,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,0.214,21.4,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,1.529,109.21428571428571,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.362,32.90909090909091,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,0.731,104.42857142857143,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.158,15.8,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.018,9,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.031,3.4444444444444446,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,0.593,65.88888888888889,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.575,63.888888888888886,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,0.092,3.4074074074074074,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.404,14.962962962962964,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.024,12,0,0,0,0,0,0,0,0,0,
