Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.107,21.4,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.268,44.66666666666667,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.542,33.875,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,6.62,367.7777777777778,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,1.062,5.966292134831462,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,0.04,2.2222222222222223,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,35.893,157.42543859649123,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,5.277,135.30769230769232,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.065,2.954545454545455,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,2.65,10.557768924302788,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,1.66,83,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.298,4.138888888888889,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,15.278,10.274377942165433,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,0.866,57.733333333333334,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,1.302,118.36363636363637,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,1.092,68.25,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.664,132.8,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.683,1568.3,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,1.532,170.22222222222223,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.028,4.666666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,1.481,493.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,1.384,276.79999999999995,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,4,1333.3333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.043,6.142857142857142,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,8.5,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,1.019,84.91666666666666,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.239,39.83333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,0.202,20.2,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,1.578,121.3846153846154,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.37,30.833333333333332,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,0.733,104.71428571428571,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.173,15.727272727272727,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.018,18,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.033,3.3000000000000003,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,0.602,66.88888888888889,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.582,58.199999999999996,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,0.091,3.1379310344827585,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.407,15.653846153846153,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.025,12.5,0,0,0,0,0,0,0,0,0,
