Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.115,23,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.278,46.333333333333336,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.532,33.25,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,7.06,306.95652173913044,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,1.065,5.756756756756756,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,0.044,2.1999999999999997,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,35.322,148.41176470588238,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,5.129,125.09756097560974,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.066,3.0000000000000004,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,2.662,10.31782945736434,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,1.694,84.7,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.292,3.893333333333333,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,15.403,10.080497382198953,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,0.836,69.66666666666666,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,1.299,108.24999999999999,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,1.106,69.125,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.672,134.4,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.732,1966.4999999999998,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,1.523,190.37499999999997,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.025,4.166666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,1.496,748,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,1.342,335.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,4.002,1000.4999999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.045,5,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,1.016,101.6,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.234,33.42857142857143,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,0.208,18.90909090909091,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,1.597,122.84615384615385,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.362,27.846153846153847,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,0.763,127.16666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.174,17.4,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.021,21,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.031,2.5833333333333335,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,0.623,69.22222222222223,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.589,53.54545454545455,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,0.103,3.6785714285714284,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.408,14.57142857142857,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.025,12.5,0,0,0,0,0,0,0,0,0,
