Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.406,81.2,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,2.062,343.66666666666663,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,2.859,190.6,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,68.619,3267.5714285714284,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,81.175,466.52298850574715,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,2.162,113.78947368421052,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,300.937,1343.46875,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,32.733,861.3947368421052,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,40.208,1608.32,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,71.043,294.7842323651453,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,11.969,598.4499999999999,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,5.737,80.80281690140846,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,686.72,472.9476584022039,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,7.019,638.0909090909091,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,5.982,664.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,8.836,631.1428571428571,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,3.403,850.75,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.999,1999.875,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,13.125,1458.3333333333335,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,4.916,819.3333333333334,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,4.331,1443.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,6.234,1246.8,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,3.987,996.75,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,9.656,1379.4285714285716,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,8.409,840.9000000000001,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,2.46,410,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,2.557,232.45454545454547,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,12.188,870.5714285714286,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,2.171,197.36363636363635,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,6.682,1336.4,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,3.098,281.6363636363636,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.018,18,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.03,3,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,3.641,404.5555555555556,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,3.451,383.44444444444446,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,4.581,157.9655172413793,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,2.394,92.07692307692308,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.024,12,0,0,0,0,0,0,0,0,0,
