Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.12,20,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.287,47.83333333333333,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.542,36.13333333333334,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,7.204,360.2,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,1.065,5.819672131147541,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,0.043,2.263157894736842,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,35.663,153.06008583690985,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,5.066,126.64999999999999,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.067,2.9130434782608696,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,2.677,10.926530612244898,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,1.665,75.68181818181819,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.298,4.138888888888889,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,15.18,10.026420079260237,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,0.853,65.61538461538461,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,1.298,129.8,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,1.081,77.21428571428571,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.667,95.28571428571429,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,16.302,2037.75,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,1.523,217.57142857142856,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.026,4.333333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,1.45,483.3333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,1.345,269,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,4.204,1401.3333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.043,6.142857142857142,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.018,18,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,1.005,100.49999999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.243,34.714285714285715,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,0.213,21.3,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,1.604,123.3846153846154,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.373,33.909090909090914,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,0.738,123,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.159,14.454545454545455,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.018,18,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.031,3.4444444444444446,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,0.619,68.77777777777779,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.58,64.44444444444444,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,0.092,3.4074074074074074,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.401,15.423076923076925,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.023,11.5,0,0,0,0,0,0,0,0,0,
