Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.411,82.19999999999999,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,2.076,346,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,3.008,167.11111111111111,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,69.543,3477.15,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,81.241,451.3388888888889,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,2.249,112.45,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,304.021,1351.2044444444446,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,32.506,755.953488372093,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,41.25,1875,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,72.958,300.238683127572,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,11.586,579.3,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,5.792,80.44444444444444,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,675.423,455.44369521240725,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,6.838,569.8333333333334,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,5.824,582.4,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,8.665,618.9285714285713,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,3.46,865,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.74,1967.5,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,12.89,1841.4285714285716,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,4.593,765.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,3.831,1915.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,5.772,1443,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,3.998,1332.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,9.317,1331,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,8.216,821.5999999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,2.471,353,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,2.495,249.5,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,11.891,914.6923076923077,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,2.116,192.36363636363637,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,6.538,1089.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,3.042,276.54545454545456,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.031,3.4444444444444446,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,3.55,355,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,3.481,348.09999999999997,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,4.428,147.6,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,2.435,97.39999999999999,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.025,12.5,0,0,0,0,0,0,0,0,0,
