Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.416,69.33333333333333,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,2.004,334,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,2.983,229.46153846153848,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,68.131,2838.7916666666665,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,78.517,448.66857142857145,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,2.131,112.1578947368421,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,289.426,1292.080357142857,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,32.429,876.4594594594596,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,40.488,1840.3636363636365,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,72.774,301.96680497925314,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,11.35,567.5,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,5.952,83.83098591549296,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,714.966,455.6826003824092,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,7.525,627.0833333333334,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,6.163,684.7777777777778,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,8.772,626.5714285714286,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,3.611,722.2,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,16.634,1848.2222222222224,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,13.581,1697.625,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,4.639,662.7142857142858,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,3.898,1299.3333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,5.946,1189.1999999999998,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,4.254,1063.4999999999998,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,9.353,1336.142857142857,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.017,17,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,9.27,772.5,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,2.61,372.85714285714283,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,2.48,225.45454545454547,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,12.958,996.7692307692308,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,2.151,195.54545454545453,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,7.49,1248.3333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,3.291,274.25,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.019,19,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.031,3.1,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,3.726,414.00000000000006,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,3.551,394.5555555555556,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,4.529,141.53125,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,2.441,90.4074074074074,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.025,12.5,0,0,0,0,0,0,0,0,0,
