Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.413,68.83333333333333,0,0,0,0,0,0,0,0,0,
Octane-Richards,537,2.01,334.99999999999994,0,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,2.916,194.4,0,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,69.156,3457.8,0,0,0,0,0,0,0,0,0,
Octane-Box2d,9528,83.963,461.3351648351648,0,0,0,0,0,0,0,0,0,
Octane-Code-Load,1527,2.223,111.14999999999999,0,0,0,0,0,0,0,0,0,
Octane-Gbemu,11106,297.63,1277.381974248927,0,0,0,0,0,0,0,0,0,
Octane-Earley-Boyer,4683,33.083,848.2820512820513,0,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,41.147,1789,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,70.983,281.67857142857144,0,0,0,0,0,0,0,0,0,
Octane-Raytrace,904,12.121,606.05,0,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,5.932,82.3888888888889,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,714.136,482.19851451721803,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Cube,339,6.944,578.6666666666666,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Morph,56,5.845,649.4444444444445,0,0,0,0,0,0,0,0,0,
SunSpider-3d-Raytrace,443,8.577,612.6428571428571,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,3.401,850.2499999999999,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,15.589,1948.625,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nbody,170,12.832,1604,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,4.623,770.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,3.805,1902.5,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,5.974,1194.8,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,3.875,1291.6666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,8.802,1257.4285714285713,0,0,0,0,0,0,0,0,0,
SunSpider-Controlflow-Recursive,25,0.018,18,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,8.285,920.5555555555557,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,2.414,402.33333333333337,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-SHA1,225,2.433,243.29999999999998,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Tofte,300,12.073,710.1764705882352,0,0,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,2.165,180.41666666666666,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Cordic,101,6.552,1092,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,3.058,305.79999999999995,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.018,18,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.032,3.555555555555556,0,0,0,0,0,0,0,0,0,
SunSpider-String-Base64,136,3.564,396.00000000000006,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,3.404,340.4,0,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,4.441,170.80769230769232,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,2.359,87.37037037037037,0,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.028,14,0,0,0,0,0,0,0,0,0,
