Benchmark,LOC,Runtime (s),Slowdown,Inline cache miss,Undefined array element,Swtich array type,Non-contiguous array key,Init fields outside constructor,Binary operation on undefined,Polymorphic function call,arguments leaking,typed array
Octane-Splay,395,0.091,13,5,0,0,0,0,0,0,0,0,
Octane-Richards,537,0.249,41.5,1,0,0,0,0,0,0,0,0,
Octane-DeltaBlue,880,0.374,20.77777777777778,5,0,0,0,0,0,0,0,0,
Octane-Crypto,1697,0.672,35.36842105263158,5,0,0,10,0,0,0,0,1,
Octane-Box2d,9528,5.472,29.901639344262296,5,0,0,0,0,7,6,0,1,
Octane-Code-Load,1527,5.784,289.2,5,3,0,0,0,0,1,0,0,
Octane-Gbemu,11106,40.582,169.79916317991632,5,0,0,8,0,6,7,0,3,
Octane-Earley-Boyer,4683,1.178,30.205128205128204,1,0,0,0,0,0,0,0,0,
Octane-Navier-Stokes,407,0.074,3.217391304347826,0,0,0,0,0,0,0,0,0,
Octane-Pdfjs,33062,12.51,49.05882352941176,5,5,0,5,0,0,4,0,0,
Octane-Raytrace,904,0.522,23.72727272727273,5,0,0,0,0,0,0,0,0,
Octane-Regexp,1765,0.536,7.146666666666667,0,0,0,0,0,0,0,0,0,
Octane-Typescript,25911,15.556,10.343085106382977,5,4,0,4,0,0,3,0,0,
SunSpider-3d-Cube,339,0.316,24.30769230769231,0,0,0,1,0,0,0,0,0,
SunSpider-3d-Morph,56,1.115,101.36363636363637,0,0,0,0,0,0,0,0,1,
SunSpider-3d-Raytrace,443,0.334,23.857142857142858,5,4,1,0,0,0,0,0,0,
SunSpider-Access-Binary-Trees,52,0.16,40,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Fannkuch,68,3.812,476.49999999999994,0,0,0,0,0,0,0,0,3,
SunSpider-Access-Nbody,170,0.188,23.5,0,0,0,0,0,0,0,0,0,
SunSpider-Access-Nsieve,39,0.553,92.16666666666667,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-3bit-Bits-in-Byte,38,0.229,76.33333333333333,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bits-in-Byte,26,0.176,35.199999999999996,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Bitwise-And,31,0.586,195.33333333333331,0,0,0,0,0,0,0,0,0,
SunSpider-Bitops-Nsieve-Bits,35,0.997,142.42857142857142,0,0,0,0,0,0,0,0,1,
SunSpider-Controlflow-Recursive,25,0.009,9,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-AES,425,0.299,33.22222222222222,0,0,0,0,0,0,0,0,0,
SunSpider-Crypto-MD5,288,0.27,45,0,2,0,1,0,2,1,0,1,
SunSpider-Crypto-SHA1,225,0.375,37.5,0,2,0,1,0,2,1,0,1,
SunSpider-Date-Format-Tofte,300,0.771,59.307692307692314,0,1,0,0,0,0,0,0,0,
SunSpider-Date-Format-Xparb,418,0.261,20.07692307692308,4,0,0,0,0,0,5,0,0,
SunSpider-Math-Cordic,101,0.183,30.5,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Partial-Sums,33,0.63,63,0,0,0,0,0,0,0,0,0,
SunSpider-Math-Spectral-Norm,51,0.011,5.5,0,0,0,0,0,0,0,0,0,
SunSpider-Regexp-DNA,1714,0.024,2.666666666666667,1,0,0,0,0,1,1,0,0,
SunSpider-String-Base64,136,0.66,82.5,0,0,0,0,0,0,0,0,0,
SunSpider-String-Fasta,90,0.965,107.22222222222223,3,0,0,0,0,0,0,0,0,
SunSpider-String-Tagcloud,266,2.902,107.48148148148148,0,0,0,0,0,0,0,0,0,
SunSpider-String-Unpack-Code,67,0.241,9.26923076923077,4,0,0,0,0,0,0,0,0,
SunSpider-String-Validate-Input,90,0.018,9,0,0,0,0,0,0,0,0,0,
